student_type,assessment,performance,learning_rate,old_mastery,new_mastery
improving,18,0.82,0.2,0.6979287178579804,0.7223429742863843
improving,19,0.85,0.2,0.7223429742863843,0.7478743794291074
improving,20,0.88,0.2,0.7478743794291074,0.7742995035432859
improving,1,0.3,0.3,0.5,0.44
improving,2,0.35,0.3,0.44,0.413
improving,3,0.4,0.3,0.413,0.4091
improving,4,0.38,0.3,0.4091,0.40037
improving,5,0.45,0.3,0.40037,0.415259
improving,6,0.5,0.3,0.415259,0.4406813
improving,7,0.48,0.3,0.4406813,0.45247691
improving,8,0.55,0.3,0.45247691,0.481733837
improving,9,0.6,0.3,0.481733837,0.5172136858999999
improving,10,0.58,0.3,0.5172136858999999,0.5360495801299999
improving,11,0.65,0.3,0.5360495801299999,0.5702347060909999
improving,12,0.68,0.3,0.5702347060909999,0.6031642942637
improving,13,0.7,0.3,0.6031642942637,0.63221500598459
improving,14,0.72,0.3,0.63221500598459,0.658550504189213
improving,15,0.75,0.3,0.658550504189213,0.6859853529324491
improving,16,0.78,0.3,0.6859853529324491,0.7141897470527144
improving,17,0.8,0.3,0.7141897470527144,0.7399328229369001
improving,18,0.82,0.3,0.7399328229369001,0.76395297605583
improving,19,0.85,0.3,0.76395297605583,0.789767083239081
improving,20,0.88,0.3,0.789767083239081,0.8168369582673567
improving,1,0.3,0.4,0.5,0.42
improving,2,0.35,0.4,0.42,0.39199999999999996
improving,3,0.4,0.4,0.39199999999999996,0.3952
improving,4,0.38,0.4,0.3952,0.38912
improving,5,0.45,0.4,0.38912,0.413472
improving,6,0.5,0.4,0.413472,0.4480832
improving,7,0.48,0.4,0.4480832,0.46084992
improving,8,0.55,0.4,0.46084992,0.49650995200000003
improving,9,0.6,0.4,0.49650995200000003,0.5379059712
improving,10,0.58,0.4,0.5379059712,0.55474358272
improving,11,0.65,0.4,0.55474358272,0.592846149632
improving,12,0.68,0.4,0.592846149632,0.6277076897792
improving,13,0.7,0.4,0.6277076897792,0.65662461386752
improving,14,0.72,0.4,0.65662461386752,0.681974768320512
improving,15,0.75,0.4,0.681974768320512,0.7091848609923072
improving,16,0.78,0.4,0.7091848609923072,0.7375109165953843
improving,17,0.8,0.4,0.7375109165953843,0.7625065499572306
improving,18,0.82,0.4,0.7625065499572306,0.7855039299743383
improving,19,0.85,0.4,0.7855039299743383,0.8113023579846029
improving,20,0.88,0.4,0.8113023579846029,0.8387814147907617
improving,1,0.3,0.5,0.5,0.4
improving,2,0.35,0.5,0.4,0.375
improving,3,0.4,0.5,0.375,0.3875
improving,4,0.38,0.5,0.3875,0.38375000000000004
improving,5,0.45,0.5,0.38375000000000004,0.416875
improving,6,0.5,0.5,0.416875,0.4584375
improving,7,0.48,0.5,0.4584375,0.46921875
improving,8,0.55,0.5,0.46921875,0.509609375
improving,9,0.6,0.5,0.509609375,0.5548046875
improving,10,0.58,0.5,0.5548046875,0.56740234375
improving,11,0.65,0.5,0.56740234375,0.608701171875
improving,12,0.68,0.5,0.608701171875,0.6443505859375
improving,13,0.7,0.5,0.6443505859375,0.67217529296875
improving,14,0.72,0.5,0.67217529296875,0.696087646484375
improving,15,0.75,0.5,0.696087646484375,0.7230438232421875
improving,16,0.78,0.5,0.7230438232421875,0.7515219116210938
improving,17,0.8,0.5,0.7515219116210938,0.7757609558105469
improving,18,0.82,0.5,0.7757609558105469,0.7978804779052735
improving,19,0.85,0.5,0.7978804779052735,0.8239402389526367
improving,20,0.88,0.5,0.8239402389526367,0.8519701194763183
improving,1,0.3,0.6,0.5,0.38
improving,2,0.35,0.6,0.38,0.362
improving,3,0.4,0.6,0.362,0.38480000000000003
improving,4,0.38,0.6,0.38480000000000003,0.38192000000000004
improving,5,0.45,0.6,0.38192000000000004,0.42276800000000003
improving,6,0.5,0.6,0.42276800000000003,0.4691072
improving,7,0.48,0.6,0.4691072,0.47564288
improving,8,0.55,0.6,0.47564288,0.520257152
improving,9,0.6,0.6,0.520257152,0.5681028607999999
improving,10,0.58,0.6,0.5681028607999999,0.57524114432
improving,11,0.65,0.6,0.57524114432,0.620096457728
improving,12,0.68,0.6,0.620096457728,0.6560385830912
improving,13,0.7,0.6,0.6560385830912,0.68241543323648
improving,14,0.72,0.6,0.68241543323648,0.704966173294592
improving,15,0.75,0.6,0.704966173294592,0.7319864693178368
improving,16,0.78,0.6,0.7319864693178368,0.7607945877271347
improving,17,0.8,0.6,0.7607945877271347,0.784317835090854
improving,18,0.82,0.6,0.784317835090854,0.8057271340363416
improving,19,0.85,0.6,0.8057271340363416,0.8322908536145366
improving,20,0.88,0.6,0.8322908536145366,0.8609163414458146
improving,1,0.3,0.7,0.5,0.36
improving,2,0.35,0.7,0.36,0.353
improving,3,0.4,0.7,0.353,0.3859
improving,4,0.38,0.7,0.3859,0.38177
improving,5,0.45,0.7,0.38177,0.429531
improving,6,0.5,0.7,0.429531,0.4788593
improving,7,0.48,0.7,0.4788593,0.47965779
improving,8,0.55,0.7,0.47965779,0.5288973370000001
improving,9,0.6,0.7,0.5288973370000001,0.5786692011
improving,10,0.58,0.7,0.5786692011,0.57960076033
improving,11,0.65,0.7,0.57960076033,0.628880228099
improving,12,0.68,0.7,0.628880228099,0.6646640684297
improving,13,0.7,0.7,0.6646640684297,0.68939922052891
improving,14,0.72,0.7,0.68939922052891,0.710819766158673
improving,15,0.75,0.7,0.710819766158673,0.738245929847602
improving,16,0.78,0.7,0.738245929847602,0.7674737789542806
improving,17,0.8,0.7,0.7674737789542806,0.7902421336862842
improving,18,0.82,0.7,0.7902421336862842,0.8110726401058852
improving,19,0.85,0.7,0.8110726401058852,0.8383217920317656
improving,20,0.88,0.7,0.8383217920317656,0.8674965376095297
improving,1,0.3,0.8,0.5,0.33999999999999997
improving,2,0.35,0.8,0.33999999999999997,0.348
improving,3,0.4,0.8,0.348,0.3896
improving,4,0.38,0.8,0.3896,0.38192
improving,5,0.45,0.8,0.38192,0.436384
improving,6,0.5,0.8,0.436384,0.4872768
improving,7,0.48,0.8,0.4872768,0.48145536
improving,8,0.55,0.8,0.48145536,0.536291072
improving,9,0.6,0.8,0.536291072,0.5872582144
improving,10,0.58,0.8,0.5872582144,0.58145164288
improving,11,0.65,0.8,0.58145164288,0.636290328576
improving,12,0.68,0.8,0.636290328576,0.6712580657152001
improving,13,0.7,0.8,0.6712580657152001,0.69425161314304
improving,14,0.72,0.8,0.69425161314304,0.7148503226286079
improving,15,0.75,0.8,0.7148503226286079,0.7429700645257216
improving,16,0.78,0.8,0.7429700645257216,0.7725940129051443
improving,17,0.8,0.8,0.7725940129051443,0.7945188025810289
improving,18,0.82,0.8,0.7945188025810289,0.8149037605162057
improving,19,0.85,0.8,0.8149037605162057,0.8429807521032411
improving,20,0.88,0.8,0.8429807521032411,0.8725961504206482
improving,1,0.3,0.9,0.5,0.31999999999999995
improving,2,0.35,0.9,0.31999999999999995,0.347
improving,3,0.4,0.9,0.347,0.3947
improving,4,0.38,0.9,0.3947,0.38147
improving,5,0.45,0.9,0.38147,0.443147
improving,6,0.5,0.9,0.443147,0.4943147
improving,7,0.48,0.9,0.4943147,0.48143147
improving,8,0.55,0.9,0.48143147,0.543143147
improving,9,0.6,0.9,0.543143147,0.5943143147
improving,10,0.58,0.9,0.5943143147,0.58143143147
improving,11,0.65,0.9,0.58143143147,0.643143143147
improving,12,0.68,0.9,0.643143143147,0.6763143143147
improving,13,0.7,0.9,0.6763143143147,0.69763143143147
improving,14,0.72,0.9,0.69763143143147,0.7177631431431469
improving,15,0.75,0.9,0.7177631431431469,0.7467763143143147
improving,16,0.78,0.9,0.7467763143143147,0.7766776314314315
improving,17,0.8,0.9,0.7766776314314315,0.7976677631431432
improving,18,0.82,0.9,0.7976677631431432,0.8177667763143143
improving,19,0.85,0.9,0.8177667763143143,0.8467766776314314
improving,20,0.88,0.9,0.8467766776314314,0.8766776677631432
strong,1,0.85,0.1,0.5,0.535
strong,2,0.9,0.1,0.535,0.5715
strong,3,0.88,0.1,0.5715,0.60235
strong,4,0.92,0.1,0.60235,0.6341150000000001
strong,5,0.87,0.1,0.6341150000000001,0.6577035000000001
strong,6,0.91,0.1,0.6577035000000001,0.6829331500000001
strong,7,0.89,0.1,0.6829331500000001,0.703639835
strong,8,0.93,0.1,0.703639835,0.7262758515000001
strong,9,0.86,0.1,0.7262758515000001,0.73964826635
strong,10,0.9,0.1,0.73964826635,0.7556834397150001
strong,11,0.88,0.1,0.7556834397150001,0.7681150957435001
strong,12,0.92,0.1,0.7681150957435001,0.7833035861691501
strong,13,0.89,0.1,0.7833035861691501,0.7939732275522351
strong,14,0.94,0.1,0.7939732275522351,0.8085759047970116
strong,15,0.9,0.1,0.8085759047970116,0.8177183143173105
strong,16,0.91,0.1,0.8177183143173105,0.8269464828855794
strong,17,0.87,0.1,0.8269464828855794,0.8312518345970215
strong,18,0.93,0.1,0.8312518345970215,0.8411266511373193
strong,19,0.9,0.1,0.8411266511373193,0.8470139860235874
strong,20,0.92,0.1,0.8470139860235874,0.8543125874212286
strong,1,0.85,0.2,0.5,0.57
strong,2,0.9,0.2,0.57,0.636
strong,3,0.88,0.2,0.636,0.6848
strong,4,0.92,0.2,0.6848,0.7318399999999999
strong,5,0.87,0.2,0.7318399999999999,0.7594719999999999
strong,6,0.91,0.2,0.7594719999999999,0.7895776
strong,7,0.89,0.2,0.7895776,0.80966208
strong,8,0.93,0.2,0.80966208,0.8337296639999999
strong,9,0.86,0.2,0.8337296639999999,0.8389837311999999
strong,10,0.9,0.2,0.8389837311999999,0.8511869849599999
strong,11,0.88,0.2,0.8511869849599999,0.8569495879679999
strong,12,0.92,0.2,0.8569495879679999,0.8695596703744
strong,13,0.89,0.2,0.8695596703744,0.87364773629952
strong,14,0.94,0.2,0.87364773629952,0.886918189039616
strong,15,0.9,0.2,0.886918189039616,0.8895345512316928
strong,16,0.91,0.2,0.8895345512316928,0.8936276409853542
strong,17,0.87,0.2,0.8936276409853542,0.8889021127882833
strong,18,0.93,0.2,0.8889021127882833,0.8971216902306267
strong,19,0.9,0.2,0.8971216902306267,0.8976973521845014
strong,20,0.92,0.2,0.8976973521845014,0.9021578817476011
strong,1,0.85,0.3,0.5,0.605
strong,2,0.9,0.3,0.605,0.6935
strong,3,0.88,0.3,0.6935,0.74945
strong,4,0.92,0.3,0.74945,0.800615
strong,5,0.87,0.3,0.800615,0.8214305
strong,6,0.91,0.3,0.8214305,0.84800135
strong,7,0.89,0.3,0.84800135,0.860600945
strong,8,0.93,0.3,0.860600945,0.8814206615
strong,9,0.86,0.3,0.8814206615,0.87499446305
strong,10,0.9,0.3,0.87499446305,0.882496124135
strong,11,0.88,0.3,0.882496124135,0.8817472868945
strong,12,0.92,0.3,0.8817472868945,0.89322310082615
strong,13,0.89,0.3,0.89322310082615,0.892256170578305
strong,14,0.94,0.3,0.892256170578305,0.9065793194048135
strong,15,0.9,0.3,0.9065793194048135,0.9046055235833694
strong,16,0.91,0.3,0.9046055235833694,0.9062238665083586
strong,17,0.87,0.3,0.9062238665083586,0.895356706555851
strong,18,0.93,0.3,0.895356706555851,0.9057496945890957
strong,19,0.9,0.3,0.9057496945890957,0.904024786212367
strong,20,0.92,0.3,0.904024786212367,0.908817350348657
strong,1,0.85,0.4,0.5,0.64
strong,2,0.9,0.4,0.64,0.744
strong,3,0.88,0.4,0.744,0.7984
strong,4,0.92,0.4,0.7984,0.84704
strong,5,0.87,0.4,0.84704,0.856224
strong,6,0.91,0.4,0.856224,0.8777344
strong,7,0.89,0.4,0.8777344,0.88264064
strong,8,0.93,0.4,0.88264064,0.901584384
strong,9,0.86,0.4,0.901584384,0.8849506304
strong,10,0.9,0.4,0.8849506304,0.89097037824
strong,11,0.88,0.4,0.89097037824,0.886582226944
strong,12,0.92,0.4,0.886582226944,0.8999493361664
strong,13,0.89,0.4,0.8999493361664,0.8959696016998401
strong,14,0.94,0.4,0.8959696016998401,0.9135817610199041
strong,15,0.9,0.4,0.9135817610199041,0.9081490566119425
strong,16,0.91,0.4,0.9081490566119425,0.9088894339671655
strong,17,0.87,0.4,0.9088894339671655,0.8933336603802993
strong,18,0.93,0.4,0.8933336603802993,0.9080001962281796
strong,19,0.9,0.4,0.9080001962281796,0.9048001177369078
strong,20,0.92,0.4,0.9048001177369078,0.9108800706421447
strong,1,0.85,0.5,0.5,0.675
strong,2,0.9,0.5,0.675,0.7875000000000001
strong,3,0.88,0.5,0.7875000000000001,0.83375
strong,4,0.92,0.5,0.83375,0.8768750000000001
strong,5,0.87,0.5,0.8768750000000001,0.8734375000000001
strong,6,0.91,0.5,0.8734375000000001,0.8917187500000001
strong,7,0.89,0.5,0.8917187500000001,0.890859375
strong,8,0.93,0.5,0.890859375,0.9104296875
strong,9,0.86,0.5,0.9104296875,0.88521484375
strong,10,0.9,0.5,0.88521484375,0.892607421875
strong,11,0.88,0.5,0.892607421875,0.8863037109375
strong,12,0.92,0.5,0.8863037109375,0.9031518554687501
strong,13,0.89,0.5,0.9031518554687501,0.896575927734375
strong,14,0.94,0.5,0.896575927734375,0.9182879638671875
strong,15,0.9,0.5,0.9182879638671875,0.9091439819335938
strong,16,0.91,0.5,0.9091439819335938,0.909571990966797
strong,17,0.87,0.5,0.909571990966797,0.8897859954833984
strong,18,0.93,0.5,0.8897859954833984,0.9098929977416992
strong,19,0.9,0.5,0.9098929977416992,0.9049464988708495
strong,20,0.92,0.5,0.9049464988708495,0.9124732494354248
strong,1,0.85,0.6,0.5,0.71
strong,2,0.9,0.6,0.71,0.824
strong,3,0.88,0.6,0.824,0.8576
strong,4,0.92,0.6,0.8576,0.8950400000000001
strong,5,0.87,0.6,0.8950400000000001,0.880016
strong,6,0.91,0.6,0.880016,0.8980064
strong,7,0.89,0.6,0.8980064,0.89320256
strong,8,0.93,0.6,0.89320256,0.915281024
strong,9,0.86,0.6,0.915281024,0.8821124096
strong,10,0.9,0.6,0.8821124096,0.89284496384
strong,11,0.88,0.6,0.89284496384,0.885137985536
strong,12,0.92,0.6,0.885137985536,0.9060551942144001
strong,13,0.89,0.6,0.9060551942144001,0.89642207768576
strong,14,0.94,0.6,0.89642207768576,0.922568831074304
strong,15,0.9,0.6,0.922568831074304,0.9090275324297216
strong,16,0.91,0.6,0.9090275324297216,0.9096110129718886
strong,17,0.87,0.6,0.9096110129718886,0.8858444051887554
strong,18,0.93,0.6,0.8858444051887554,0.9123377620755022
strong,19,0.9,0.6,0.9123377620755022,0.9049351048302009
strong,20,0.92,0.6,0.9049351048302009,0.9139740419320804
strong,1,0.85,0.7,0.5,0.745
strong,2,0.9,0.7,0.745,0.8535
strong,3,0.88,0.7,0.8535,0.87205
strong,4,0.92,0.7,0.87205,0.9056150000000001
strong,5,0.87,0.7,0.9056150000000001,0.8806845
strong,6,0.91,0.7,0.8806845,0.90120535
strong,7,0.89,0.7,0.90120535,0.8933616050000001
strong,8,0.93,0.7,0.8933616050000001,0.9190084815
strong,9,0.86,0.7,0.9190084815,0.87770254445
strong,10,0.9,0.7,0.87770254445,0.893310763335
strong,11,0.88,0.7,0.893310763335,0.8839932290005
strong,12,0.92,0.7,0.8839932290005,0.90919796870015
strong,13,0.89,0.7,0.90919796870015,0.8957593906100451
strong,14,0.94,0.7,0.8957593906100451,0.9267278171830134
strong,15,0.9,0.7,0.9267278171830134,0.9080183451549041
strong,16,0.91,0.7,0.9080183451549041,0.9094055035464712
strong,17,0.87,0.7,0.9094055035464712,0.8818216510639414
strong,18,0.93,0.7,0.8818216510639414,0.9155464953191824
strong,19,0.9,0.7,0.9155464953191824,0.9046639485957547
strong,20,0.92,0.7,0.9046639485957547,0.9153991845787265
strong,1,0.85,0.8,0.5,0.78
strong,2,0.9,0.8,0.78,0.876
strong,3,0.88,0.8,0.876,0.8792
strong,4,0.92,0.8,0.8792,0.91184
strong,5,0.87,0.8,0.91184,0.878368
strong,6,0.91,0.8,0.878368,0.9036736000000001
strong,7,0.89,0.8,0.9036736000000001,0.89273472
strong,8,0.93,0.8,0.89273472,0.922546944
strong,9,0.86,0.8,0.922546944,0.8725093888
strong,10,0.9,0.8,0.8725093888,0.89450187776
strong,11,0.88,0.8,0.89450187776,0.882900375552
strong,12,0.92,0.8,0.882900375552,0.9125800751104001
strong,13,0.89,0.8,0.9125800751104001,0.89451601502208
strong,14,0.94,0.8,0.89451601502208,0.930903203004416
strong,15,0.9,0.8,0.930903203004416,0.9061806406008832
strong,16,0.91,0.8,0.9061806406008832,0.9092361281201766
strong,17,0.87,0.8,0.9092361281201766,0.8778472256240353
strong,18,0.93,0.8,0.8778472256240353,0.9195694451248071
strong,19,0.9,0.8,0.9195694451248071,0.9039138890249614
strong,20,0.92,0.8,0.9039138890249614,0.9167827778049923
strong,1,0.85,0.9,0.5,0.815
strong,2,0.9,0.9,0.815,0.8915
strong,3,0.88,0.9,0.8915,0.88115
strong,4,0.92,0.9,0.88115,0.916115
strong,5,0.87,0.9,0.916115,0.8746115
strong,6,0.91,0.9,0.8746115,0.90646115
strong,7,0.89,0.9,0.90646115,0.891646115
strong,8,0.93,0.9,0.891646115,0.9261646115000001
strong,9,0.86,0.9,0.9261646115000001,0.86661646115
strong,10,0.9,0.9,0.86661646115,0.896661646115
strong,11,0.88,0.9,0.896661646115,0.8816661646115
strong,12,0.92,0.9,0.8816661646115,0.91616661646115
strong,13,0.89,0.9,0.91616661646115,0.892616661646115
strong,14,0.94,0.9,0.892616661646115,0.9352616661646115
strong,15,0.9,0.9,0.9352616661646115,0.9035261666164611
strong,16,0.91,0.9,0.9035261666164611,0.9093526166616461
strong,17,0.87,0.9,0.9093526166616461,0.8739352616661646
strong,18,0.93,0.9,0.8739352616661646,0.9243935261666165
strong,19,0.9,0.9,0.9243935261666165,0.9024393526166616
strong,20,0.92,0.9,0.9024393526166616,0.9182439352616663
struggling,1,0.35,0.1,0.5,0.485
struggling,2,0.4,0.1,0.485,0.4765
struggling,3,0.3,0.1,0.4765,0.45885
struggling,4,0.38,0.1,0.45885,0.450965
struggling,5,0.32,0.1,0.450965,0.4378685
struggling,6,0.42,0.1,0.4378685,0.43608165
struggling,7,0.35,0.1,0.43608165,0.427473485
struggling,8,0.3,0.1,0.427473485,0.4147261365
struggling,9,0.4,0.1,0.4147261365,0.41325352285
struggling,10,0.33,0.1,0.41325352285,0.404928170565
struggling,11,0.36,0.1,0.404928170565,0.4004353535085
struggling,12,0.41,0.1,0.4004353535085,0.40139181815765
struggling,13,0.34,0.1,0.40139181815765,0.395252636341885
struggling,14,0.38,0.1,0.395252636341885,0.39372737270769653
struggling,15,0.31,0.1,0.39372737270769653,0.3853546354369269
struggling,16,0.37,0.1,0.3853546354369269,0.3838191718932342
struggling,17,0.35,0.1,0.3838191718932342,0.3804372547039108
struggling,18,0.4,0.1,0.3804372547039108,0.38239352923351977
struggling,19,0.32,0.1,0.38239352923351977,0.3761541763101678
struggling,20,0.36,0.1,0.3761541763101678,0.374538758679151
struggling,1,0.35,0.2,0.5,0.47
struggling,2,0.4,0.2,0.47,0.45599999999999996
struggling,3,0.3,0.2,0.45599999999999996,0.42479999999999996
struggling,4,0.38,0.2,0.42479999999999996,0.41584
struggling,5,0.32,0.2,0.41584,0.39667199999999997
struggling,6,0.42,0.2,0.39667199999999997,0.40133759999999996
struggling,7,0.35,0.2,0.40133759999999996,0.39107008
struggling,8,0.3,0.2,0.39107008,0.372856064
struggling,9,0.4,0.2,0.372856064,0.3782848512
struggling,10,0.33,0.2,0.3782848512,0.36862788096
struggling,11,0.36,0.2,0.36862788096,0.366902304768
struggling,12,0.41,0.2,0.366902304768,0.3755218438144
struggling,13,0.34,0.2,0.3755218438144,0.36841747505152
struggling,14,0.38,0.2,0.36841747505152,0.370733980041216
struggling,15,0.31,0.2,0.370733980041216,0.3585871840329728
struggling,16,0.37,0.2,0.3585871840329728,0.3608697472263782
struggling,17,0.35,0.2,0.3608697472263782,0.35869579778110255
struggling,18,0.4,0.2,0.35869579778110255,0.36695663822488206
struggling,19,0.32,0.2,0.36695663822488206,0.35756531057990565
struggling,20,0.36,0.2,0.35756531057990565,0.3580522484639245
struggling,1,0.35,0.3,0.5,0.455
struggling,2,0.4,0.3,0.455,0.4385
struggling,3,0.3,0.3,0.4385,0.39695
struggling,4,0.38,0.3,0.39695,0.391865
struggling,5,0.32,0.3,0.391865,0.3703055
struggling,6,0.42,0.3,0.3703055,0.38521385
struggling,7,0.35,0.3,0.38521385,0.374649695
struggling,8,0.3,0.3,0.374649695,0.3522547865
struggling,9,0.4,0.3,0.3522547865,0.36657835055
struggling,10,0.33,0.3,0.36657835055,0.355604845385
struggling,11,0.36,0.3,0.355604845385,0.3569233917695
struggling,12,0.41,0.3,0.3569233917695,0.37284637423864997
struggling,13,0.34,0.3,0.37284637423864997,0.362992461967055
struggling,14,0.38,0.3,0.362992461967055,0.3680947233769385
struggling,15,0.31,0.3,0.3680947233769385,0.35066630636385693
struggling,16,0.37,0.3,0.35066630636385693,0.35646641445469984
struggling,17,0.35,0.3,0.35646641445469984,0.3545264901182899
struggling,18,0.4,0.3,0.3545264901182899,0.36816854308280295
struggling,19,0.32,0.3,0.36816854308280295,0.3537179801579621
struggling,20,0.36,0.3,0.3537179801579621,0.35560258611057344
struggling,1,0.35,0.4,0.5,0.44
struggling,2,0.4,0.4,0.44,0.424
struggling,3,0.3,0.4,0.424,0.37439999999999996
struggling,4,0.38,0.4,0.37439999999999996,0.37664
struggling,5,0.32,0.4,0.37664,0.35398399999999997
struggling,6,0.42,0.4,0.35398399999999997,0.38039039999999996
struggling,7,0.35,0.4,0.38039039999999996,0.36823424
struggling,8,0.3,0.4,0.36823424,0.340940544
struggling,9,0.4,0.4,0.340940544,0.3645643264
struggling,10,0.33,0.4,0.3645643264,0.35073859584
struggling,11,0.36,0.4,0.35073859584,0.354443157504
struggling,12,0.41,0.4,0.354443157504,0.3766658945024
struggling,13,0.34,0.4,0.3766658945024,0.36199953670144003
struggling,14,0.38,0.4,0.36199953670144003,0.36919972202086404
struggling,15,0.31,0.4,0.36919972202086404,0.34551983321251845
struggling,16,0.37,0.4,0.34551983321251845,0.35531189992751105
struggling,17,0.35,0.4,0.35531189992751105,0.35318713995650663
struggling,18,0.4,0.4,0.35318713995650663,0.37191228397390397
struggling,19,0.32,0.4,0.37191228397390397,0.3511473703843424
struggling,20,0.36,0.4,0.3511473703843424,0.3546884222306054
struggling,1,0.35,0.5,0.5,0.425
struggling,2,0.4,0.5,0.425,0.4125
struggling,3,0.3,0.5,0.4125,0.35624999999999996
struggling,4,0.38,0.5,0.35624999999999996,0.368125
struggling,5,0.32,0.5,0.368125,0.3440625
struggling,6,0.42,0.5,0.3440625,0.38203125
struggling,7,0.35,0.5,0.38203125,0.36601562499999996
struggling,8,0.3,0.5,0.36601562499999996,0.3330078125
struggling,9,0.4,0.5,0.3330078125,0.36650390625
struggling,10,0.33,0.5,0.36650390625,0.348251953125
struggling,11,0.36,0.5,0.348251953125,0.3541259765625
struggling,12,0.41,0.5,0.3541259765625,0.38206298828124996
struggling,13,0.34,0.5,0.38206298828124996,0.36103149414062496
struggling,14,0.38,0.5,0.36103149414062496,0.3705157470703125
struggling,15,0.31,0.5,0.3705157470703125,0.34025787353515624
struggling,16,0.37,0.5,0.34025787353515624,0.3551289367675781
struggling,17,0.35,0.5,0.3551289367675781,0.3525644683837891
struggling,18,0.4,0.5,0.3525644683837891,0.37628223419189455
struggling,19,0.32,0.5,0.37628223419189455,0.3481411170959473
struggling,20,0.36,0.5,0.3481411170959473,0.35407055854797365
struggling,1,0.35,0.6,0.5,0.41
struggling,2,0.4,0.6,0.41,0.404
struggling,3,0.3,0.6,0.404,0.3416
struggling,4,0.38,0.6,0.3416,0.36464
struggling,5,0.32,0.6,0.36464,0.337856
struggling,6,0.42,0.6,0.337856,0.3871424
struggling,7,0.35,0.6,0.3871424,0.36485696
struggling,8,0.3,0.6,0.36485696,0.325942784
struggling,9,0.4,0.6,0.325942784,0.37037711360000003
struggling,10,0.33,0.6,0.37037711360000003,0.34615084544
struggling,11,0.36,0.6,0.34615084544,0.354460338176
struggling,12,0.41,0.6,0.354460338176,0.38778413527039995
struggling,13,0.34,0.6,0.38778413527039995,0.35911365410816
struggling,14,0.38,0.6,0.35911365410816,0.371645461643264
struggling,15,0.31,0.6,0.371645461643264,0.3346581846573056
struggling,16,0.37,0.6,0.3346581846573056,0.35586327386292227
struggling,17,0.35,0.6,0.35586327386292227,0.3523453095451689
struggling,18,0.4,0.6,0.3523453095451689,0.3809381238180676
struggling,19,0.32,0.6,0.3809381238180676,0.34437524952722703
struggling,20,0.36,0.6,0.34437524952722703,0.3537500998108908
struggling,1,0.35,0.7,0.5,0.395
struggling,2,0.4,0.7,0.395,0.3985
struggling,3,0.3,0.7,0.3985,0.32955
struggling,4,0.38,0.7,0.32955,0.364865
struggling,5,0.32,0.7,0.364865,0.3334595
struggling,6,0.42,0.7,0.3334595,0.39403784999999997
struggling,7,0.35,0.7,0.39403784999999997,0.36321135499999996
struggling,8,0.3,0.7,0.36321135499999996,0.3189634065
struggling,9,0.4,0.7,0.3189634065,0.37568902195
struggling,10,0.33,0.7,0.37568902195,0.343706706585
struggling,11,0.36,0.7,0.343706706585,0.3551120119755
struggling,12,0.41,0.7,0.3551120119755,0.39353360359265
struggling,13,0.34,0.7,0.39353360359265,0.356060081077795
struggling,14,0.38,0.7,0.356060081077795,0.3728180243233385
struggling,15,0.31,0.7,0.3728180243233385,0.32884540729700157
struggling,16,0.37,0.7,0.32884540729700157,0.35765362218910046
struggling,17,0.35,0.7,0.35765362218910046,0.3522960866567301
